trait_y	trait_x	rate	count_of_total	count_of_resigned	y_lower	y_upper	x_lower	x_upper	x_label	y_label	x_width	y_width
活動性	慎重性	0.5	2.0	1.0	46	51	28	42	28:42	46:51	14	5
活動性	慎重性	0.5	4.0	2.0	46	52	18	38	18:38	46:52	20	6
活動性	慎重性	0.5	2.0	1.0	46	58	18	31	18:31	46:58	13	12
活動性	慎重性	0.5	2.0	1.0	46	60	64	67	64:67	46:60	3	14
活動性	慎重性	0.5	2.0	1.0	46	61	28	34	28:34	46:61	6	15
活動性	慎重性	0.5	4.0	2.0	47	49	58	67	58:67	47:49	9	2
活動性	慎重性	0.5	2.0	1.0	49	51	56	60	56:60	49:51	4	2
活動性	慎重性	0.5	2.0	1.0	50	51	56	63	56:63	50:51	7	1
活動性	慎重性	0.5	2.0	1.0	50	52	29	41	29:41	50:52	12	2
活動性	慎重性	0.5	4.0	2.0	50	60	58	59	58:59	50:60	1	10
活動性	慎重性	0.5	2.0	1.0	52	55	57	61	57:61	52:55	4	3
活動性	慎重性	0.5	4.0	2.0	52	56	58	63	58:63	52:56	5	4
活動性	慎重性	0.6666666666666666	3.0	2.0	52	57	58	61	58:61	52:57	3	5
活動性	慎重性	0.5	2.0	1.0	52	60	59	61	59:61	52:60	2	8
活動性	慎重性	0.5	2.0	1.0	53	71	62	65	62:65	53:71	3	18
活動性	慎重性	0.5	2.0	1.0	55	71	62	67	62:67	55:71	5	16
活動性	慎重性	0.5	2.0	1.0	57	71	62	73	62:73	57:71	11	14
活動性	慎重性	0.5	2.0	1.0	60	61	38	42	38:42	60:61	4	1
活動性	慎重性	0.5	2.0	1.0	65	69	47	52	47:52	65:69	5	4
活動性	慎重性	0.5	2.0	1.0	65	77	47	50	47:50	65:77	3	12
活動性	慎重性	0.5	2.0	1.0	66	69	47	53	47:53	66:69	6	3
活動性	慎重性	0.5	2.0	1.0	67	69	31	51	31:51	67:69	20	2
活動性	慎重性	0.5	2.0	1.0	67	70	46	50	46:50	67:70	4	3
社交性	慎重性	0.5	2.0	1.0	26	40	18	38	18:38	26:40	20	14
社交性	慎重性	0.5	2.0	1.0	26	46	18	35	18:35	26:46	17	20
社交性	慎重性	0.5	2.0	1.0	29	49	69	70	69:70	29:49	1	20
社交性	慎重性	0.5	4.0	2.0	30	50	68	76	68:76	30:50	8	20
社交性	慎重性	0.5	6.0	3.0	34	50	66	79	66:79	34:50	13	16
社交性	慎重性	0.5	2.0	1.0	35	55	70	75	70:75	35:55	5	20
社交性	慎重性	0.5	2.0	1.0	37	55	54	55	54:55	37:55	1	18
社交性	慎重性	0.5	6.0	3.0	38	48	62	79	62:79	38:48	17	10
社交性	慎重性	0.5	6.0	3.0	39	48	62	80	62:80	39:48	18	9
社交性	慎重性	0.5	6.0	3.0	39	50	66	80	66:80	39:50	14	11
社交性	慎重性	0.5	2.0	1.0	39	59	70	71	70:71	39:59	1	20
社交性	慎重性	0.5	4.0	2.0	40	48	64	80	64:80	40:48	16	8
社交性	慎重性	0.5	2.0	1.0	40	59	66	69	66:69	40:59	3	19
社交性	慎重性	0.5	2.0	1.0	41	43	44	46	44:46	41:43	2	2
社交性	慎重性	0.5	4.0	2.0	44	47	60	68	60:68	44:47	8	3
社交性	慎重性	0.6666666666666666	3.0	2.0	45	47	57	77	57:77	45:47	20	2
社交性	慎重性	0.5	4.0	2.0	45	48	60	80	60:80	45:48	20	3
社交性	慎重性	0.5	2.0	1.0	45	65	70	74	70:74	45:65	4	20
社交性	慎重性	0.5	2.0	1.0	46	48	40	58	40:58	46:48	18	2
社交性	慎重性	0.5	2.0	1.0	46	55	54	56	54:56	46:55	2	9
社交性	慎重性	0.5	6.0	3.0	46	58	46	48	46:48	46:58	2	12
社交性	慎重性	0.5	2.0	1.0	49	50	49	56	49:56	49:50	7	1
社交性	慎重性	0.5	4.0	2.0	49	53	43	48	43:48	49:53	5	4
社交性	慎重性	0.5	4.0	2.0	49	54	44	48	44:48	49:54	4	5
社交性	慎重性	0.5	4.0	2.0	50	53	38	48	38:48	50:53	10	3
社交性	慎重性	0.5	2.0	1.0	50	55	54	57	54:57	50:55	3	5
社交性	慎重性	0.5	2.0	1.0	50	66	64	67	64:67	50:66	3	16
社交性	慎重性	0.5	2.0	1.0	51	53	27	47	27:47	51:53	20	2
社交性	慎重性	0.5	4.0	2.0	51	65	58	60	58:60	51:65	2	14
社交性	慎重性	0.5	2.0	1.0	52	53	40	60	40:60	52:53	20	1
社交性	慎重性	0.5	2.0	1.0	52	54	51	57	51:57	52:54	6	2
社交性	慎重性	0.5	4.0	2.0	52	58	61	80	61:80	52:58	19	6
社交性	慎重性	0.5	4.0	2.0	52	59	61	73	61:73	52:59	12	7
社交性	慎重性	0.5	4.0	2.0	52	63	62	75	62:75	52:63	13	11
社交性	慎重性	0.5	4.0	2.0	52	65	62	74	62:74	52:65	12	13
社交性	慎重性	0.5	2.0	1.0	52	66	64	73	64:73	52:66	9	14
社交性	慎重性	0.5	6.0	3.0	52	67	62	73	62:73	52:67	11	15
社交性	慎重性	0.5	6.0	3.0	52	68	62	70	62:70	52:68	8	16
社交性	慎重性	0.5	6.0	3.0	54	58	56	73	56:73	54:58	17	4
社交性	慎重性	0.5	10.0	5.0	54	59	58	74	58:74	54:59	16	5
社交性	慎重性	0.5	4.0	2.0	54	60	56	60	56:60	54:60	4	6
社交性	慎重性	0.6666666666666666	3.0	2.0	54	61	56	59	56:59	54:61	3	7
社交性	慎重性	0.5	6.0	3.0	55	58	55	75	55:75	55:58	20	3
社交性	慎重性	0.5	10.0	5.0	55	59	55	74	55:74	55:59	19	4
社交性	慎重性	0.5	4.0	2.0	55	62	61	74	61:74	55:62	13	7
社交性	慎重性	0.5	4.0	2.0	56	58	53	73	53:73	56:58	20	2
社交性	慎重性	0.5	8.0	4.0	56	59	56	75	56:75	56:59	19	3
社交性	慎重性	0.6666666666666666	3.0	2.0	56	76	62	67	62:67	56:76	5	20
社交性	慎重性	0.5	4.0	2.0	57	58	50	70	50:70	57:58	20	1
社交性	慎重性	0.5	8.0	4.0	57	59	54	73	54:73	57:59	19	2
社交性	慎重性	0.5	2.0	1.0	58	65	60	61	60:61	58:65	1	7
社交性	慎重性	0.5	4.0	2.0	62	79	47	50	47:50	62:79	3	17
社交性	慎重性	0.5	2.0	1.0	63	76	61	65	61:65	63:76	4	13
社交性	慎重性	0.5	2.0	1.0	63	79	38	42	38:42	63:79	4	16
社交性	慎重性	0.5	2.0	1.0	64	70	38	45	38:45	64:70	7	6
社交性	慎重性	0.5	2.0	1.0	64	79	38	43	38:43	64:79	5	15
社交性	慎重性	0.5	2.0	1.0	66	69	35	48	35:48	66:69	13	3
社交性	慎重性	0.5	4.0	2.0	66	70	35	50	35:50	66:70	15	4
社交性	慎重性	0.5	2.0	1.0	66	71	35	45	35:45	66:71	10	5
社交性	慎重性	0.5	2.0	1.0	66	76	58	65	58:65	66:76	7	10
社交性	慎重性	0.5	2.0	1.0	66	77	31	43	31:43	66:77	12	11
社交性	慎重性	0.5	2.0	1.0	66	79	38	44	38:44	66:79	6	13
社交性	慎重性	0.5	2.0	1.0	67	70	31	48	31:48	67:70	17	3
社交性	慎重性	0.5	4.0	2.0	67	71	31	50	31:50	67:71	19	4
社交性	慎重性	0.5	2.0	1.0	67	77	31	44	31:44	67:77	13	10
社交性	慎重性	0.5	2.0	1.0	67	79	45	50	45:50	67:79	5	12
社交性	慎重性	0.5	2.0	1.0	68	79	47	52	47:52	68:79	5	11
社交性	慎重性	0.5	2.0	1.0	69	70	31	51	31:51	69:70	20	1
社交性	慎重性	0.5	2.0	1.0	69	79	47	57	47:57	69:79	10	10
新奇性	慎重性	0.5	2.0	1.0	16	28	58	74	58:74	16:28	16	12
新奇性	慎重性	0.5	2.0	1.0	16	33	64	77	64:77	16:33	13	17
新奇性	慎重性	0.5	2.0	1.0	16	34	59	74	59:74	16:34	15	18
新奇性	慎重性	0.5	2.0	1.0	16	36	66	74	66:74	16:36	8	20
新奇性	慎重性	0.5	2.0	1.0	27	47	54	55	54:55	27:47	1	20
新奇性	慎重性	0.5	4.0	2.0	34	48	27	41	27:41	34:48	14	14
新奇性	慎重性	0.5	2.0	1.0	34	50	27	37	27:37	34:50	10	16
新奇性	慎重性	0.5	2.0	1.0	34	54	27	35	27:35	34:54	8	20
新奇性	慎重性	0.5	2.0	1.0	35	38	42	50	42:50	35:38	8	3
新奇性	慎重性	0.5	2.0	1.0	35	39	43	50	43:50	35:39	7	4
新奇性	慎重性	0.5	2.0	1.0	35	40	44	50	44:50	35:40	6	5
新奇性	慎重性	0.5	2.0	1.0	35	43	44	48	44:48	35:43	4	8
新奇性	慎重性	0.5	2.0	1.0	35	44	46	48	46:48	35:44	2	9
新奇性	慎重性	0.5	2.0	1.0	35	52	64	67	64:67	35:52	3	17
新奇性	慎重性	0.5	4.0	2.0	36	48	18	38	18:38	36:48	20	12
新奇性	慎重性	0.5	2.0	1.0	36	50	18	37	18:37	36:50	19	14
新奇性	慎重性	0.5	2.0	1.0	36	54	18	35	18:35	36:54	17	18
新奇性	慎重性	0.5	2.0	1.0	36	56	18	32	18:32	36:56	14	20
新奇性	慎重性	0.5	2.0	1.0	37	39	43	53	43:53	37:39	10	2
新奇性	慎重性	0.5	4.0	2.0	38	41	62	79	62:79	38:41	17	3
新奇性	慎重性	0.5	2.0	1.0	38	44	66	79	66:79	38:44	13	6
新奇性	慎重性	0.5	2.0	1.0	38	58	68	70	68:70	38:58	2	20
新奇性	慎重性	0.5	2.0	1.0	39	59	69	70	69:70	39:59	1	20
新奇性	慎重性	0.5	2.0	1.0	40	44	66	80	66:80	40:44	14	4
新奇性	慎重性	0.5	2.0	1.0	40	47	54	57	54:57	40:47	3	7
新奇性	慎重性	0.5	4.0	2.0	40	58	68	76	68:76	40:58	8	18
新奇性	慎重性	0.5	4.0	2.0	40	59	68	75	68:75	40:59	7	19
新奇性	慎重性	0.5	2.0	1.0	41	44	53	60	53:60	41:44	7	3
新奇性	慎重性	0.5	2.0	1.0	42	44	53	63	53:63	42:44	10	2
新奇性	慎重性	0.5	4.0	2.0	42	48	27	43	27:43	42:48	16	6
新奇性	慎重性	0.5	2.0	1.0	42	62	70	73	70:73	42:62	3	20
新奇性	慎重性	0.5	2.0	1.0	43	44	51	60	51:60	43:44	9	1
新奇性	慎重性	0.5	2.0	1.0	44	46	27	46	27:46	44:46	19	2
新奇性	慎重性	0.5	4.0	2.0	44	48	27	45	27:45	44:48	18	4
新奇性	慎重性	0.5	2.0	1.0	45	58	70	80	70:80	45:58	10	13
新奇性	慎重性	0.5	2.0	1.0	46	47	54	58	54:58	46:47	4	1
新奇性	慎重性	0.5	4.0	2.0	47	52	64	80	64:80	47:52	16	5
新奇性	慎重性	0.5	2.0	1.0	47	58	68	80	68:80	47:58	12	11
新奇性	慎重性	0.5	2.0	1.0	49	51	61	80	61:80	49:51	19	2
新奇性	慎重性	0.5	4.0	2.0	49	53	61	67	61:67	49:53	6	4
新奇性	慎重性	0.5	2.0	1.0	50	52	49	53	49:53	50:52	4	2
新奇性	慎重性	0.5	2.0	1.0	53	54	52	63	52:63	53:54	11	1
新奇性	慎重性	0.5	2.0	1.0	53	55	52	55	52:55	53:55	3	2
新奇性	慎重性	1.0	1.0	1.0	54	55	38	46	38:46	54:55	8	1
新奇性	慎重性	0.5	2.0	1.0	54	57	44	46	44:46	54:57	2	3
新奇性	慎重性	0.5	2.0	1.0	54	74	62	65	62:65	54:74	3	20
新奇性	慎重性	0.5	2.0	1.0	56	74	62	69	62:69	56:74	7	18
新奇性	慎重性	0.5	2.0	1.0	57	60	38	42	38:42	57:60	4	3
新奇性	慎重性	0.5	2.0	1.0	59	79	40	42	40:42	59:79	2	20
新奇性	慎重性	0.5	2.0	1.0	61	74	59	61	59:61	61:74	2	13
新奇性	慎重性	0.5	2.0	1.0	63	66	54	73	54:73	63:66	19	3
新奇性	慎重性	0.5	2.0	1.0	63	67	55	73	55:73	63:67	18	4
新奇性	慎重性	0.5	2.0	1.0	63	70	58	67	58:67	63:70	9	7
新奇性	慎重性	0.5	2.0	1.0	63	74	59	67	59:67	63:74	8	11
新奇性	慎重性	0.5	2.0	1.0	63	78	47	50	47:50	63:78	3	15
新奇性	慎重性	1.0	1.0	1.0	65	66	31	51	31:51	65:66	20	1
新奇性	慎重性	0.5	2.0	1.0	65	67	31	48	31:48	65:67	17	2
新奇性	慎重性	0.5	2.0	1.0	67	78	46	53	46:53	67:78	7	11
新奇性	慎重性	0.5	2.0	1.0	67	79	47	53	47:53	67:79	6	12
新奇性	慎重性	0.5	2.0	1.0	68	70	46	58	46:58	68:70	12	2
新奇性	慎重性	0.5	2.0	1.0	68	75	47	57	47:57	68:75	10	7
固執性	慎重性	0.5	2.0	1.0	22	34	46	49	46:49	22:34	3	12
固執性	慎重性	0.5	2.0	1.0	25	39	18	34	18:34	25:39	16	14
固執性	慎重性	0.5	2.0	1.0	25	41	26	30	26:30	25:41	4	16
固執性	慎重性	0.5	2.0	1.0	27	43	58	73	58:73	27:43	15	16
固執性	慎重性	1.0	1.0	1.0	27	45	61	73	61:73	27:45	12	18
固執性	慎重性	1.0	1.0	1.0	27	47	62	73	62:73	27:47	11	20
固執性	慎重性	0.5	2.0	1.0	31	33	46	58	46:58	31:33	12	2
固執性	慎重性	0.5	2.0	1.0	31	34	46	51	46:51	31:34	5	3
固執性	慎重性	0.5	2.0	1.0	35	41	57	73	57:73	35:41	16	6
固執性	慎重性	0.5	2.0	1.0	36	41	56	73	56:73	36:41	17	5
固執性	慎重性	0.5	2.0	1.0	36	42	47	52	47:52	36:42	5	6
固執性	慎重性	0.5	2.0	1.0	37	51	64	69	64:69	37:51	5	14
固執性	慎重性	0.5	6.0	3.0	37	57	62	65	62:65	37:57	3	20
固執性	慎重性	0.5	4.0	2.0	38	41	44	54	44:54	38:41	10	3
固執性	慎重性	0.5	2.0	1.0	38	42	36	39	36:39	38:42	3	4
固執性	慎重性	0.5	4.0	2.0	39	41	44	60	44:60	39:41	16	2
固執性	慎重性	0.5	2.0	1.0	40	42	36	41	36:41	40:42	5	2
固執性	慎重性	0.5	2.0	1.0	41	42	29	41	29:41	41:42	12	1
固執性	慎重性	0.5	4.0	2.0	45	50	59	61	59:61	45:50	2	5
固執性	慎重性	0.5	2.0	1.0	48	51	59	63	59:63	48:51	4	3
固執性	慎重性	0.5	2.0	1.0	50	51	54	73	54:73	50:51	19	1
固執性	慎重性	0.5	2.0	1.0	50	53	58	60	58:60	50:53	2	3
固執性	慎重性	0.5	2.0	1.0	50	57	38	45	38:45	50:57	7	7
固執性	慎重性	0.5	2.0	1.0	50	61	38	42	38:42	50:61	4	11
固執性	慎重性	0.5	2.0	1.0	50	65	40	42	40:42	50:65	2	15
固執性	慎重性	0.5	4.0	2.0	50	70	54	55	54:55	50:70	1	20
固執性	慎重性	0.5	2.0	1.0	51	57	31	45	31:45	51:57	14	6
固執性	慎重性	0.5	2.0	1.0	51	61	38	43	38:43	51:61	5	10
固執性	慎重性	0.5	2.0	1.0	51	65	40	43	40:43	51:65	3	14
固執性	慎重性	0.5	2.0	1.0	52	57	31	46	31:46	52:57	15	5
固執性	慎重性	0.5	2.0	1.0	52	61	31	43	31:43	52:61	12	9
固執性	慎重性	0.5	2.0	1.0	55	57	31	48	31:48	55:57	17	2
固執性	慎重性	0.5	2.0	1.0	55	61	40	46	40:46	55:61	6	6
固執性	慎重性	0.5	2.0	1.0	56	66	54	57	54:57	56:66	3	10
固執性	慎重性	0.5	2.0	1.0	56	70	54	56	54:56	56:70	2	14
固執性	慎重性	0.5	2.0	1.0	56	76	70	73	70:73	56:76	3	20
固執性	慎重性	0.5	2.0	1.0	58	60	58	63	58:63	58:60	5	2
固執性	慎重性	0.5	2.0	1.0	58	66	53	57	53:57	58:66	4	8
固執性	慎重性	0.5	2.0	1.0	58	68	53	56	53:56	58:68	3	10
固執性	慎重性	0.5	2.0	1.0	60	61	36	56	36:56	60:61	20	1
固執性	慎重性	0.5	2.0	1.0	60	64	51	58	51:58	60:64	7	4
固執性	慎重性	0.5	2.0	1.0	62	66	64	67	64:67	62:66	3	4
固執性	慎重性	0.5	2.0	1.0	62	68	68	80	68:80	62:68	12	6
固執性	慎重性	0.5	2.0	1.0	62	70	70	80	70:80	62:70	10	8
固執性	慎重性	0.5	2.0	1.0	63	66	64	80	64:80	63:66	16	3
固執性	慎重性	0.5	2.0	1.0	66	86	70	79	70:79	66:86	9	20
固執性	慎重性	0.5	2.0	1.0	67	86	62	76	62:76	67:86	14	19
固執性	慎重性	0.5	2.0	1.0	69	86	62	79	62:79	69:86	17	17
固執性	慎重性	0.5	2.0	1.0	72	86	59	79	59:79	72:86	20	14
主体性	慎重性	0.5	2.0	1.0	17	28	53	73	53:73	17:28	20	11
主体性	慎重性	0.5	2.0	1.0	17	29	55	73	55:73	17:29	18	12
主体性	慎重性	0.5	2.0	1.0	17	30	57	73	57:73	17:30	16	13
主体性	慎重性	0.5	2.0	1.0	17	32	59	73	59:73	17:32	14	15
主体性	慎重性	0.5	2.0	1.0	17	37	61	73	61:73	17:37	12	20
主体性	慎重性	0.5	2.0	1.0	28	48	28	30	28:30	28:48	2	20
主体性	慎重性	0.5	2.0	1.0	29	32	44	50	44:50	29:32	6	3
主体性	慎重性	0.5	4.0	2.0	29	36	46	48	46:48	29:36	2	7
主体性	慎重性	0.5	2.0	1.0	30	32	27	47	27:47	30:32	20	2
主体性	慎重性	0.5	2.0	1.0	35	36	46	58	46:58	35:36	12	1
主体性	慎重性	0.5	2.0	1.0	36	41	58	61	58:61	36:41	3	5
主体性	慎重性	0.5	2.0	1.0	37	41	35	38	35:38	37:41	3	4
主体性	慎重性	0.5	2.0	1.0	37	51	18	30	18:30	37:51	12	14
主体性	慎重性	0.5	2.0	1.0	37	56	26	30	26:30	37:56	4	19
主体性	慎重性	0.5	2.0	1.0	38	39	29	43	29:43	38:39	14	1
主体性	慎重性	0.5	2.0	1.0	38	41	18	38	18:38	38:41	20	3
主体性	慎重性	0.5	2.0	1.0	38	42	35	40	35:40	38:42	5	4
主体性	慎重性	0.5	2.0	1.0	39	41	57	63	57:63	39:41	6	2
主体性	慎重性	0.5	4.0	2.0	39	42	58	77	58:77	39:42	19	3
主体性	慎重性	0.5	2.0	1.0	39	48	18	34	18:34	39:48	16	9
主体性	慎重性	0.5	2.0	1.0	39	51	18	32	18:32	39:51	14	12
主体性	慎重性	0.5	2.0	1.0	39	56	26	32	26:32	39:56	6	17
主体性	慎重性	0.5	2.0	1.0	40	41	50	70	50:70	40:41	20	1
主体性	慎重性	0.5	4.0	2.0	40	42	57	77	57:77	40:42	20	2
主体性	慎重性	0.5	4.0	2.0	41	54	47	49	47:49	41:54	2	13
主体性	慎重性	0.5	2.0	1.0	42	48	18	36	18:36	42:48	18	6
主体性	慎重性	0.5	2.0	1.0	42	51	26	36	26:36	42:51	10	9
主体性	慎重性	1.0	1.0	1.0	43	45	54	60	54:60	43:45	6	2
主体性	慎重性	0.5	4.0	2.0	43	54	47	50	47:50	43:54	3	11
主体性	慎重性	0.5	2.0	1.0	44	48	59	63	59:63	44:48	4	4
主体性	慎重性	0.5	2.0	1.0	44	49	59	61	59:61	44:49	2	5
主体性	慎重性	1.0	1.0	1.0	44	51	60	61	60:61	44:51	1	7
主体性	慎重性	0.5	2.0	1.0	44	55	66	70	66:70	44:55	4	11
主体性	慎重性	0.5	2.0	1.0	44	56	66	69	66:69	44:56	3	12
主体性	慎重性	0.5	2.0	1.0	45	65	70	74	70:74	45:65	4	20
主体性	慎重性	0.5	2.0	1.0	46	48	27	46	27:46	46:48	19	2
主体性	慎重性	0.5	2.0	1.0	46	51	18	37	18:37	46:51	19	5
主体性	慎重性	0.5	6.0	3.0	46	53	47	52	47:52	46:53	5	7
主体性	慎重性	0.5	2.0	1.0	46	54	26	37	26:37	46:54	11	8
主体性	慎重性	0.5	4.0	2.0	49	51	35	55	35:55	49:51	20	2
主体性	慎重性	0.5	4.0	2.0	49	53	44	53	44:53	49:53	9	4
主体性	慎重性	0.5	6.0	3.0	49	54	46	55	46:55	49:54	9	5
主体性	慎重性	0.5	2.0	1.0	49	58	50	51	50:51	49:58	1	9
主体性	慎重性	0.5	2.0	1.0	49	69	70	76	70:76	49:69	6	20
主体性	慎重性	0.5	2.0	1.0	52	54	46	57	46:57	52:54	11	2
主体性	慎重性	0.5	2.0	1.0	52	56	43	46	43:46	52:56	3	4
主体性	慎重性	0.5	2.0	1.0	52	69	70	80	70:80	52:69	10	17
主体性	慎重性	0.5	2.0	1.0	54	56	42	46	42:46	54:56	4	2
主体性	慎重性	0.5	4.0	2.0	55	69	68	80	68:80	55:69	12	14
主体性	慎重性	0.5	2.0	1.0	56	69	66	80	66:80	56:69	14	13
主体性	慎重性	0.5	2.0	1.0	56	76	66	75	66:75	56:76	9	20
主体性	慎重性	0.5	2.0	1.0	57	61	57	60	57:60	57:61	3	4
主体性	慎重性	0.5	2.0	1.0	57	76	37	44	37:44	57:76	7	19
主体性	慎重性	0.5	2.0	1.0	59	61	54	61	54:61	59:61	7	2
主体性	慎重性	0.5	2.0	1.0	59	63	56	60	56:60	59:63	4	4
主体性	慎重性	0.5	4.0	2.0	59	69	64	80	64:80	59:69	16	10
主体性	慎重性	0.5	4.0	2.0	59	76	64	75	64:75	59:76	11	17
主体性	慎重性	0.5	2.0	1.0	60	76	64	70	64:70	60:76	6	16
主体性	慎重性	0.5	2.0	1.0	62	69	62	80	62:80	62:69	18	7
主体性	慎重性	0.5	2.0	1.0	62	76	62	75	62:75	62:76	13	14
主体性	慎重性	0.5	2.0	1.0	64	69	61	80	61:80	64:69	19	5
主体性	慎重性	0.5	2.0	1.0	64	72	61	75	61:75	64:72	14	8
主体性	慎重性	0.5	2.0	1.0	64	76	35	46	35:46	64:76	11	12
主体性	慎重性	0.5	2.0	1.0	65	68	49	57	49:57	65:68	8	3
主体性	慎重性	0.5	2.0	1.0	65	69	60	80	60:80	65:69	20	4
主体性	慎重性	0.5	2.0	1.0	65	70	51	57	51:57	65:70	6	5
主体性	慎重性	0.5	2.0	1.0	65	72	58	75	58:75	65:72	17	7
主体性	慎重性	0.5	2.0	1.0	65	76	31	48	31:48	65:76	17	11
決断性	慎重性	0.5	2.0	1.0	19	31	27	43	27:43	19:31	16	12
決断性	慎重性	0.5	2.0	1.0	19	32	28	41	28:41	19:32	13	13
決断性	慎重性	0.5	2.0	1.0	19	34	35	43	35:43	19:34	8	15
決断性	慎重性	0.6666666666666666	3.0	2.0	19	35	59	73	59:73	19:35	14	16
決断性	慎重性	0.5	4.0	2.0	19	36	59	67	59:67	19:36	8	17
決断性	慎重性	0.6666666666666666	3.0	2.0	19	37	61	73	61:73	19:37	12	18
決断性	慎重性	1.0	2.0	2.0	19	39	61	67	61:67	19:39	6	20
決断性	慎重性	0.5	6.0	3.0	23	43	62	67	62:67	23:43	5	20
決断性	慎重性	0.5	2.0	1.0	26	34	46	48	46:48	26:34	2	8
決断性	慎重性	0.5	2.0	1.0	30	34	36	49	36:49	30:34	13	4
決断性	慎重性	0.5	2.0	1.0	30	36	46	49	46:49	30:36	3	6
決断性	慎重性	0.5	2.0	1.0	30	42	26	34	26:34	30:42	8	12
決断性	慎重性	0.5	2.0	1.0	30	45	28	32	28:32	30:45	4	15
決断性	慎重性	0.5	2.0	1.0	30	46	50	52	50:52	30:46	2	16
決断性	慎重性	0.5	2.0	1.0	30	48	28	30	28:30	30:48	2	18
決断性	慎重性	0.5	2.0	1.0	31	34	36	53	36:53	31:34	17	3
決断性	慎重性	0.5	2.0	1.0	31	36	46	53	46:53	31:36	7	5
決断性	慎重性	0.5	2.0	1.0	32	35	57	77	57:77	32:35	20	3
決断性	慎重性	0.5	2.0	1.0	32	42	18	34	18:34	32:42	16	10
決断性	慎重性	0.5	2.0	1.0	32	45	18	30	18:30	32:45	12	13
決断性	慎重性	0.5	2.0	1.0	32	48	26	30	26:30	32:48	4	16
決断性	慎重性	1.0	1.0	1.0	33	34	27	47	27:47	33:34	20	1
決断性	慎重性	0.5	2.0	1.0	33	35	54	73	54:73	33:35	19	2
決断性	慎重性	0.5	2.0	1.0	33	36	40	53	40:53	33:36	13	3
決断性	慎重性	0.5	2.0	1.0	33	42	26	35	26:35	33:42	9	9
決断性	慎重性	0.5	2.0	1.0	36	41	26	37	26:37	36:41	11	5
